generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
10,4,"[8, 5, 4, 0]",0.6064862745098039,0.5402222222222223,0.9411764705882353,0.0
10,5,"[9, 4, 3, 0]",0.6041833333333333,0.5382222222222222,0.9375,0.0
10,6,"[8, 6, 3, 3]",0.6031333333333333,0.5385555555555555,0.9333333333333333,0.0
10,7,"[8, 6, 3, 2]",0.6010666666666666,0.5351111111111111,0.9333333333333333,0.0
10,8,"[9, 4, 4, 0]",0.5824,0.5373333333333333,0.8666666666666667,0.0
10,9,"[10, 5, 4, 2]",0.5794666666666667,0.5407777777777778,0.85,0.0
10,10,"[8, 6, 3, 1]",0.5782,0.5386666666666666,0.85,0.0
10,11,"[8, 6, 3, 0]",0.578159420289855,0.5505555555555555,0.8260869565217391,0.0
10,12,"[8, 6, 3, 0]",0.5717921568627451,0.5412222222222223,0.8235294117647058,0.0
10,13,"[9, 4, 4, 0]",0.5595333333333332,0.5325555555555554,0.8,0.0
10,14,"[9, 4, 4, 0]",0.5362666666666667,0.5326666666666667,0.7222222222222222,0.0
10,15,"[9, 4, 4, 0]",0.5110509803921569,0.5282222222222223,0.6470588235294118,0.0
11,1,"[8, 6, 1, 0]",0.6266666666666666,0.5444444444444444,1.0,0.0
11,2,"[8, 5, 4, 0]",0.6041833333333333,0.5382222222222222,0.9375,0.0
11,3,"[8, 6, 4, 0]",0.6032666666666666,0.5387777777777778,0.9333333333333333,0.0
11,4,"[8, 5, 4, 0]",0.6015714285714286,0.5383333333333333,0.9285714285714286,0.0
11,5,"[8, 6, 1, 0]",0.5988285714285714,0.5456666666666666,0.9047619047619048,0.0
11,6,"[8, 6, 1, 0]",0.5897333333333332,0.5384444444444444,0.8888888888888888,0.0
11,7,"[8, 6, 2, 0]",0.5880666666666666,0.5356666666666666,0.8888888888888888,0.0
11,8,"[8, 6, 3, 0]",0.5839,0.5356666666666666,0.875,0.0
11,9,"[8, 5, 4, 0]",0.575298245614035,0.5377777777777778,0.8421052631578947,0.0
11,10,"[8, 6, 4, 0]",0.5705254901960783,0.5391111111111111,0.8235294117647058,0.0
11,11,"[8, 6, 1, 0]",0.5702588235294117,0.5386666666666666,0.8235294117647058,0.0
11,12,"[7, 6, 1, 0]",0.5606421052631578,0.5396666666666666,0.7894736842105263,0.0
11,13,"[8, 5, 4, 0]",0.5476000000000001,0.5376666666666667,0.75,0.0
11,14,"[7, 6, 1, 0]",0.5468,0.5363333333333333,0.75,0.0
11,15,"[7, 6, 1, 0]",0.5282787878787878,0.5395555555555556,0.6818181818181818,0.0
12,1,"[7, 6, 4, 0]",0.6273333333333333,0.5455555555555555,1.0,0.0
12,2,"[10, 6, 0, 0]",0.6144303030303031,0.5467777777777778,0.9545454545454546,0.0
12,3,"[8, 6, 4, 0]",0.6061529411764706,0.5396666666666666,0.9411764705882353,0.0
